pH,Chlorine_Level,Turbidity,NPK_Ratio,Conductivity,Industrial_Waste,Lead_Concentration,Flow_Rate,Water_Pressure,Road_Segment_ID,Terminal_Point_A,Terminal_Point_B,Road_Level,Capacity,Speed_Limit,Pipe_Diameter,Pipe_Length,Pipe_Age,Temperature,Humidity,Barometric_Pressure,Wind_Speed,Weather,Toxication_Level,Water_Quality_Label
6.73,3.46,1.79,1.95,62.9,26.18,0.0344,96.45,96.97,1047,30,95,Arterial,1924,30,698.09,149.55,50,3.84,35.1,1027.98,25.7,Stormy,9.46,Safe
6.51,1.33,2.79,9.88,1389.84,68.92,0.0167,127.34,51.84,1646,33,36,Local,2211,70,831.83,666.36,28,42.12,17.1,1031.02,31.99,Sunny,85.77,Unsafe
8.5,2.01,2.06,7.59,1305.02,80.34,0.0079,140.39,85.14,1093,26,74,Collector,2514,30,371.29,539.09,25,44.63,55.71,1043.66,35.76,Cloudy,3.44,Safe
8.1,2.63,0.84,4.44,840.01,84.81,0.0453,145.78,71.1,1458,62,19,Local,1741,60,1012.58,623.08,80,14.47,57.7,1021.03,13.33,Stormy,77.8,Unsafe
8.07,2.74,0.37,9.39,452.49,54.38,0.0052,175.19,67.48,1906,48,6,Local,2278,70,62.88,835.14,62,-0.22,75.68,1025.74,40.16,Rainy,76.84,Unsafe
7.52,4.47,1.18,1.37,97.63,53.46,0.0381,182.9,24.36,1208,15,34,Local,1205,40,451.07,797.58,82,39.73,61.81,1038.69,15.97,Cloudy,0.32,Safe
7.1,2.03,0.29,1.33,1499.74,68.42,0.0051,125.3,92.99,1956,98,8,Arterial,1840,30,1059.56,109.99,81,3.93,79.01,1010.91,21.16,Stormy,14.52,Safe
6.8,4.56,3.09,6.98,1155.01,77.77,0.0342,179.89,38.29,1095,15,6,Local,1650,60,829.3,57.01,46,14.1,91.43,1008.69,38.36,Stormy,68.77,Unsafe
7.07,2.32,3.98,2.19,541.13,17.06,0.0055,155.28,57.86,1882,77,41,Arterial,1641,70,307.35,530.25,73,20.27,75.78,1006.41,42.0,Stormy,45.02,Safe
7.25,3.78,1.7,9.21,77.94,73.98,0.0254,48.52,80.16,1259,58,89,Local,1601,40,572.38,133.46,21,20.29,82.82,1019.56,49.26,Cloudy,58.78,Unsafe
8.01,4.67,1.94,8.48,976.97,34.17,0.0094,16.71,61.79,1183,89,15,Local,2614,60,358.23,973.47,13,26.92,27.21,983.23,44.19,Cloudy,27.76,Safe
7.58,4.56,4.08,3.41,1481.01,38.38,0.0433,11.88,20.35,1389,94,22,Arterial,1016,60,594.6,669.13,71,6.42,26.15,1045.31,26.47,Cloudy,24.71,Safe
6.65,0.47,1.11,8.94,1075.26,7.77,0.0201,121.46,95.92,1701,55,4,Collector,2606,50,1013.09,877.07,31,11.54,45.08,1000.13,44.89,Stormy,56.47,Unsafe
6.54,1.19,0.6,0.91,171.39,58.84,0.0008,109.1,21.64,1626,80,73,Arterial,1325,40,108.13,36.88,44,12.54,21.31,1004.41,29.88,Cloudy,31.4,Safe
6.7,2.49,2.51,5.71,633.3,9.34,0.0314,142.31,27.19,1669,64,86,Local,2728,70,332.54,463.53,64,9.07,57.57,1048.69,4.3,Cloudy,0.83,Safe
7.32,2.27,3.23,9.39,208.32,91.31,0.0223,170.14,37.93,1954,39,56,Collector,1212,70,86.06,466.15,47,44.67,63.83,1043.05,9.7,Cloudy,25.24,Safe
8.37,3.28,3.0,8.63,1372.63,62.1,0.043,41.24,67.92,1298,42,18,Local,1055,30,1190.12,251.09,70,37.98,36.9,1038.37,29.08,Stormy,23.97,Safe
7.77,4.73,3.57,3.88,529.1,99.03,0.0217,172.72,97.69,1616,3,24,Arterial,1114,30,233.24,94.65,18,37.32,99.56,1048.99,24.25,Cloudy,26.32,Safe
8.1,0.74,0.28,2.24,1113.4,24.57,0.0206,28.64,93.81,1188,75,99,Collector,1123,70,373.97,285.8,25,14.2,80.53,1016.46,45.62,Stormy,71.48,Unsafe
7.43,2.37,2.14,2.5,172.8,67.96,0.0227,177.82,72.11,1763,31,67,Arterial,868,70,1031.19,685.3,86,22.54,78.66,1005.89,44.17,Sunny,6.81,Safe
7.22,1.12,1.19,5.39,236.2,96.44,0.043,171.59,79.34,1237,7,18,Arterial,1595,40,638.27,43.98,64,-1.74,67.87,987.85,31.74,Sunny,4.06,Safe
6.72,4.49,3.8,6.17,1035.26,29.86,0.0293,142.42,76.95,1823,22,89,Local,1422,70,1135.99,504.01,7,4.21,30.62,1031.25,4.03,Rainy,44.01,Safe
8.25,4.83,4.36,0.81,1273.05,9.63,0.0335,67.01,74.96,1569,42,84,Local,2654,60,728.74,448.68,10,44.1,28.08,1007.51,14.89,Stormy,38.21,Safe
8.07,2.5,1.41,4.43,342.1,63.4,0.036,27.75,84.99,1954,60,39,Arterial,762,60,880.28,270.7,48,16.18,24.63,1019.99,7.94,Rainy,79.04,Unsafe
6.84,0.7,0.48,8.39,656.59,36.61,0.0469,157.84,47.19,1972,14,89,Local,1640,60,759.66,304.48,13,19.08,80.55,991.97,4.62,Rainy,83.79,Unsafe
7.52,3.97,1.27,4.72,948.15,27.31,0.0419,51.4,37.69,1960,53,61,Arterial,2901,50,897.98,225.45,69,22.88,42.17,996.84,25.25,Stormy,46.53,Safe
7.47,3.55,0.52,2.11,1204.6,99.36,0.0464,93.78,47.81,1955,71,77,Arterial,1299,40,358.69,651.37,83,39.5,29.19,1015.52,25.75,Cloudy,20.88,Safe
7.75,1.9,1.61,9.57,960.89,75.41,0.0172,110.86,23.89,1308,29,78,Collector,2963,70,432.15,476.3,67,39.53,91.31,1031.23,23.04,Sunny,29.3,Safe
8.39,4.46,2.69,3.03,188.37,48.54,0.0107,140.23,97.36,1522,78,94,Collector,1745,30,743.72,777.66,81,32.91,83.87,1003.81,1.86,Rainy,76.7,Unsafe
7.66,4.88,4.87,8.09,837.09,5.0,0.0102,102.61,79.16,1591,19,44,Arterial,902,50,1039.52,707.29,19,23.46,12.28,1046.61,4.22,Cloudy,10.82,Safe
7.58,2.88,2.0,2.34,1332.68,19.16,0.0429,141.96,37.07,1108,71,28,Collector,2879,40,313.04,556.7,15,22.26,35.38,1034.1,29.25,Rainy,49.06,Safe
6.6,2.92,1.1,4.52,1308.63,29.88,0.0415,164.67,40.46,1048,22,30,Arterial,1321,30,1150.61,970.82,99,22.84,48.09,994.75,20.3,Sunny,91.05,Unsafe
6.63,1.63,0.83,5.16,898.27,48.72,0.0325,145.48,99.41,1553,27,51,Collector,772,60,564.63,398.27,71,35.47,29.26,1027.4,8.61,Rainy,19.97,Safe
6.87,3.01,0.87,5.26,1493.76,49.72,0.0031,66.91,81.45,1216,44,33,Collector,1278,50,205.23,876.71,33,44.66,51.95,1020.15,24.9,Cloudy,0.53,Safe
6.56,2.31,0.96,5.41,202.43,2.47,0.0159,179.91,54.05,1109,76,82,Arterial,2697,40,1052.72,482.15,7,4.18,58.97,1007.28,42.02,Stormy,48.63,Safe
7.99,1.65,3.81,2.64,743.96,94.34,0.0367,114.61,36.53,1829,33,64,Collector,2572,60,1116.94,229.98,31,38.94,56.81,1004.76,18.02,Stormy,33.65,Safe
7.95,0.52,0.31,5.4,1173.93,54.28,0.0124,98.42,23.23,1193,73,52,Local,1952,40,996.33,641.07,65,31.06,54.19,1031.63,1.81,Rainy,71.53,Unsafe
6.77,1.41,4.99,5.08,254.51,1.97,0.0312,119.26,73.55,1602,14,28,Arterial,1304,30,550.32,499.46,13,13.93,86.46,1007.37,23.47,Stormy,83.79,Unsafe
8.17,1.15,2.61,2.48,1460.49,70.13,0.0271,101.81,82.4,1239,18,73,Local,2031,60,1134.85,345.92,92,8.68,10.62,1032.33,5.97,Stormy,23.86,Safe
6.81,2.8,2.72,9.89,563.37,7.14,0.0131,153.47,28.62,1531,82,14,Collector,543,70,432.01,849.35,80,0.19,13.53,1004.71,13.85,Rainy,31.17,Safe
7.1,3.09,1.79,8.72,557.7,72.12,0.0467,89.93,20.19,1733,50,69,Arterial,2775,70,151.85,76.06,51,2.94,88.57,1019.13,7.56,Rainy,2.6,Safe
7.0,3.12,3.45,8.93,359.13,70.15,0.0128,157.58,48.59,1784,73,99,Local,2379,70,445.21,329.79,25,23.41,80.22,996.34,22.34,Stormy,61.18,Unsafe
7.24,2.06,2.36,7.01,467.63,98.49,0.0447,154.43,73.4,1371,71,54,Local,2019,60,470.56,733.49,89,0.47,76.4,990.61,0.19,Rainy,56.41,Unsafe
7.01,2.22,1.65,2.02,887.5,34.2,0.027,62.61,93.9,1984,97,49,Collector,2904,40,971.26,188.22,89,28.73,34.43,1016.47,27.15,Stormy,48.84,Safe
7.48,4.2,1.33,5.9,672.56,14.43,0.0046,28.23,90.36,1171,42,7,Arterial,2374,70,872.37,501.06,4,22.72,18.64,991.36,14.94,Rainy,23.86,Safe
7.31,2.49,4.63,8.3,330.4,9.19,0.0417,171.68,75.08,1271,33,44,Arterial,1294,70,764.32,368.76,99,20.77,32.66,1036.86,45.53,Rainy,59.3,Unsafe
8.47,4.94,1.45,0.87,1223.25,7.17,0.0396,42.09,85.12,1569,11,60,Arterial,1077,50,271.37,335.61,69,11.42,92.86,1034.86,3.34,Stormy,61.6,Unsafe
6.61,2.31,2.18,5.21,140.25,81.03,0.0415,15.92,48.47,1382,65,1,Arterial,1221,60,969.92,420.78,7,25.9,38.58,1034.18,11.7,Stormy,82.65,Unsafe
6.78,3.32,1.75,4.26,1260.25,71.85,0.0319,86.44,39.61,1404,75,51,Collector,1556,50,86.8,544.45,2,0.08,62.78,1021.32,6.63,Sunny,34.9,Safe
6.61,0.44,0.43,2.52,448.66,97.59,0.0356,58.29,29.94,1308,90,99,Collector,2549,30,302.11,313.6,56,30.08,58.85,981.43,15.26,Sunny,84.58,Unsafe
7.75,3.34,0.93,4.09,769.06,30.92,0.0454,51.87,34.53,1593,71,38,Collector,1640,50,681.3,409.12,56,39.78,13.91,1006.78,31.48,Rainy,78.53,Unsafe
6.61,4.29,0.95,9.84,602.54,80.31,0.0064,42.74,97.03,1137,34,66,Collector,721,60,597.35,626.66,40,29.01,80.67,1030.54,43.67,Stormy,83.05,Unsafe
8.17,4.72,3.47,7.37,877.37,9.3,0.0042,152.35,94.4,1122,8,68,Collector,1149,50,844.09,338.01,9,35.96,42.62,1036.07,25.45,Cloudy,15.81,Safe
7.52,4.99,2.03,3.35,1204.19,90.39,0.0063,158.85,23.75,1493,64,74,Arterial,568,70,962.0,870.59,13,5.34,14.2,991.38,33.45,Sunny,18.38,Safe
7.55,1.55,3.91,6.25,1484.51,5.18,0.0435,18.81,57.6,1261,93,99,Arterial,609,50,1044.73,804.94,98,13.2,28.99,1001.2,47.38,Rainy,83.71,Unsafe
7.62,2.96,3.54,2.84,493.79,78.79,0.0281,113.89,49.87,1528,99,59,Arterial,2140,70,1159.62,150.67,89,38.51,49.21,1018.37,27.16,Sunny,56.45,Unsafe
6.84,2.36,0.96,6.3,853.02,30.74,0.0088,35.68,72.14,1267,72,98,Arterial,1238,30,686.39,849.81,64,8.46,86.18,1040.32,47.36,Sunny,63.88,Unsafe
6.9,2.91,2.81,9.01,725.71,18.12,0.0071,104.92,46.27,1297,35,62,Arterial,1035,50,717.61,188.77,14,25.36,41.98,983.28,32.3,Cloudy,48.61,Safe
7.14,0.96,3.71,5.79,1498.45,70.45,0.0223,76.11,42.45,1571,46,39,Arterial,965,60,694.76,124.75,54,24.18,65.76,1046.98,9.5,Sunny,70.95,Unsafe
7.69,4.31,3.17,7.47,1222.92,89.59,0.0408,48.35,84.73,1416,19,63,Local,1588,50,1080.68,977.22,89,21.43,56.93,1042.56,21.9,Stormy,57.02,Unsafe
6.92,4.57,3.0,4.81,625.77,76.41,0.0403,190.13,95.77,1291,63,32,Arterial,530,30,938.27,554.57,66,30.57,41.93,995.56,27.02,Stormy,10.13,Safe
6.73,2.36,3.7,5.48,741.47,31.31,0.0426,191.78,36.22,1477,91,21,Local,2006,50,621.94,870.02,8,29.0,19.95,992.38,16.79,Stormy,27.57,Safe
8.44,1.55,0.28,7.1,406.64,35.36,0.0384,117.15,38.82,1534,40,85,Arterial,1092,70,836.8,254.2,91,19.31,88.62,1017.32,3.33,Cloudy,92.04,Unsafe
6.54,0.88,3.66,8.22,1145.11,18.93,0.0031,45.73,53.53,1244,42,23,Local,1735,40,400.6,945.25,78,30.63,91.36,1038.27,19.77,Rainy,44.76,Safe
8.11,3.48,1.36,6.76,1275.56,82.41,0.036,120.82,76.5,1514,44,15,Arterial,2662,60,241.19,901.09,64,24.2,26.82,1022.43,11.51,Cloudy,19.87,Safe
8.08,1.7,2.86,9.79,1449.23,10.71,0.0259,186.41,33.37,1632,46,1,Local,847,30,104.38,542.43,92,40.46,16.79,1004.11,22.27,Sunny,36.53,Safe
7.09,4.57,1.21,8.29,870.45,90.32,0.0363,81.77,57.43,1456,84,29,Local,2529,60,526.96,843.89,67,29.8,98.58,997.82,28.6,Rainy,28.19,Safe
6.77,3.42,4.19,7.88,1022.49,60.11,0.0242,36.17,87.27,1578,41,94,Collector,1535,50,478.27,390.22,6,21.38,55.62,1029.93,37.22,Sunny,64.14,Unsafe
6.79,3.3,2.4,8.53,696.79,58.89,0.0242,141.8,38.73,1829,15,19,Collector,2817,70,922.43,606.01,39,11.39,34.69,1006.12,4.35,Stormy,55.33,Unsafe
7.89,2.89,3.21,3.17,933.24,83.78,0.0063,134.69,23.81,1173,17,33,Collector,2635,40,628.88,668.67,71,24.32,18.25,1044.84,37.19,Rainy,11.18,Safe
7.79,0.42,3.97,4.6,555.69,66.75,0.0453,10.26,92.55,1264,52,88,Collector,2642,40,246.78,848.2,98,42.05,66.33,1027.97,8.85,Stormy,88.61,Unsafe
8.07,4.67,4.48,5.86,1119.65,30.42,0.0187,172.19,83.0,1594,68,70,Local,2665,70,162.79,655.28,16,43.91,69.94,1019.79,37.83,Cloudy,34.81,Safe
8.37,3.21,3.66,4.89,82.92,34.95,0.0291,135.54,75.9,1533,2,10,Collector,1555,50,141.45,978.92,19,7.53,87.76,980.6,3.7,Sunny,70.39,Unsafe
7.88,4.97,0.74,8.55,91.26,17.31,0.0104,47.18,26.99,1077,7,46,Local,836,70,70.51,22.09,61,4.53,23.46,1049.07,42.81,Sunny,45.15,Safe
6.81,2.78,4.27,0.76,1088.38,46.41,0.0184,10.62,91.95,1433,19,47,Arterial,1484,60,135.82,836.35,83,31.97,97.96,997.33,34.03,Cloudy,97.34,Unsafe
6.99,3.61,3.09,2.49,1399.49,11.02,0.0435,194.74,44.42,1350,54,55,Arterial,2532,60,916.9,305.75,51,39.18,81.91,1016.44,16.15,Stormy,64.63,Unsafe
8.18,0.47,3.05,8.88,966.76,65.3,0.0105,153.39,36.92,1111,76,18,Local,862,50,939.49,121.04,19,40.57,94.64,1000.4,0.43,Stormy,96.97,Unsafe
6.92,3.23,4.61,1.06,1103.47,16.92,0.0103,79.36,59.0,1383,78,71,Collector,2870,70,458.25,222.84,54,21.03,23.06,981.78,2.78,Stormy,80.01,Unsafe
6.65,3.87,1.24,2.66,1244.7,86.39,0.013,92.23,93.82,1737,5,10,Arterial,2270,70,87.94,798.31,92,17.29,85.13,994.32,46.26,Stormy,58.72,Unsafe
7.91,3.94,1.2,3.84,574.43,70.05,0.0287,112.38,99.56,1053,26,92,Arterial,2324,30,198.13,405.36,66,25.13,70.23,1043.95,49.39,Rainy,63.18,Unsafe
7.31,3.9,2.57,7.63,206.76,89.15,0.026,146.54,69.13,1052,89,59,Collector,2015,40,633.56,666.89,18,16.81,29.41,1004.23,11.47,Rainy,69.71,Unsafe
8.34,1.29,3.75,5.82,1402.98,8.7,0.0088,42.86,96.44,1244,74,34,Local,2596,30,1173.57,661.46,7,26.72,84.29,989.7,5.84,Sunny,66.91,Unsafe
7.8,4.88,2.24,9.57,1410.93,79.85,0.0346,47.19,56.27,1726,20,42,Local,2215,50,190.78,353.84,77,20.91,77.06,985.39,13.98,Cloudy,8.2,Safe
6.68,4.98,3.17,2.66,690.67,88.08,0.0454,19.17,22.37,1800,12,98,Collector,1072,40,227.46,535.83,35,16.98,66.71,1011.9,18.56,Rainy,61.76,Unsafe
8.4,0.56,2.26,8.79,364.9,4.46,0.0099,197.3,42.05,1757,71,91,Local,2260,50,515.58,512.46,15,1.83,98.8,992.17,28.31,Sunny,29.56,Safe
7.02,4.69,3.05,3.19,1343.91,99.91,0.0336,176.36,44.15,1680,24,42,Local,2213,70,757.91,439.5,97,32.38,64.93,1013.42,48.1,Stormy,36.15,Safe
7.17,1.59,4.11,2.83,1077.22,30.06,0.0293,115.06,82.62,1859,1,67,Arterial,549,30,500.72,254.83,51,17.83,64.36,1002.34,1.16,Stormy,7.81,Safe
7.3,3.51,0.9,5.23,61.93,21.17,0.0164,91.75,29.94,1788,23,7,Collector,2349,50,770.0,466.47,22,21.16,65.76,985.7,25.26,Cloudy,76.16,Unsafe
6.6,1.82,3.48,1.18,206.19,41.49,0.0309,55.11,33.99,1537,9,15,Collector,2622,30,125.01,83.65,34,-3.7,59.03,1002.76,34.76,Stormy,29.98,Safe
7.49,4.85,3.94,4.15,1475.64,0.86,0.0105,123.05,69.14,1777,12,35,Arterial,2211,70,255.78,713.11,10,35.39,96.02,1019.28,14.5,Sunny,39.27,Safe
6.75,0.69,2.24,3.88,105.29,88.59,0.0417,141.2,30.45,1319,68,53,Arterial,1653,50,131.45,497.5,30,8.84,90.85,1035.15,19.59,Cloudy,65.65,Unsafe
7.3,2.59,1.62,2.02,459.7,26.85,0.0011,140.94,59.64,1534,4,1,Collector,704,70,1056.33,800.21,49,28.1,74.45,980.25,19.0,Rainy,98.18,Unsafe
7.2,2.25,0.07,8.68,845.32,52.16,0.0284,11.22,22.81,1578,55,14,Local,1565,50,968.51,227.64,32,11.12,84.62,1008.71,26.16,Rainy,4.35,Safe
8.05,1.76,3.99,4.17,317.32,62.36,0.0159,143.39,73.51,1777,59,90,Local,1503,70,356.77,405.93,95,29.15,46.11,991.38,24.47,Sunny,5.23,Safe
8.11,3.3,1.64,9.83,386.48,79.11,0.0441,174.61,92.67,1876,57,22,Collector,2054,40,917.19,919.65,80,43.9,97.36,1019.5,3.24,Stormy,32.46,Safe
6.81,0.83,1.79,9.05,561.8,25.02,0.025,31.83,89.99,1743,61,84,Collector,2713,40,982.47,528.59,83,41.21,71.4,986.57,15.39,Stormy,75.72,Unsafe
7.23,3.64,1.68,2.35,440.85,71.71,0.0401,153.52,25.89,1122,6,62,Arterial,2491,50,1028.74,913.63,30,12.79,95.49,1006.56,20.07,Rainy,89.29,Unsafe
7.25,4.91,2.49,5.3,1214.87,11.77,0.0462,166.42,67.28,1512,44,36,Arterial,2225,50,547.98,403.46,66,-3.99,54.24,1025.25,10.48,Cloudy,10.48,Safe
6.8,4.06,3.51,6.22,775.4,70.42,0.0167,62.47,28.31,1027,61,99,Local,1901,40,1164.27,929.61,94,6.35,10.87,1013.78,30.82,Rainy,33.94,Safe
8.1,4.33,3.86,8.28,454.0,91.93,0.044,145.3,24.28,1460,65,16,Arterial,2967,50,1076.11,498.4,61,10.32,27.13,993.72,32.87,Rainy,33.54,Safe
7.91,1.93,1.96,8.91,503.99,8.5,0.0363,28.38,68.83,1761,79,63,Arterial,1507,30,866.11,204.2,96,4.82,73.38,1010.03,22.08,Rainy,24.92,Safe
6.88,1.76,3.32,6.43,107.8,11.67,0.0054,133.35,65.8,1806,72,6,Arterial,2727,60,86.7,514.9,37,39.31,56.33,984.24,15.28,Rainy,71.31,Unsafe
7.23,2.68,3.6,0.83,121.62,55.72,0.0052,106.96,27.51,1238,77,22,Arterial,1349,60,897.75,671.18,88,10.43,82.17,1028.28,24.79,Rainy,51.59,Unsafe
6.71,0.42,1.48,5.07,1090.97,4.64,0.0409,171.47,48.79,1373,82,7,Collector,1964,40,772.59,707.19,90,13.77,37.94,1035.02,35.49,Rainy,3.19,Safe
7.76,4.74,0.48,8.91,213.72,18.74,0.0234,95.87,45.33,1106,23,95,Collector,1924,30,1137.36,519.27,70,8.14,93.77,980.37,20.32,Rainy,4.55,Safe
6.74,0.89,4.47,7.28,739.91,19.02,0.0248,91.34,47.4,1589,54,17,Arterial,2786,60,572.3,509.41,70,20.93,17.11,1031.7,10.25,Stormy,46.75,Safe
8.47,4.53,3.39,8.77,1271.43,48.12,0.0446,187.42,46.66,1697,25,80,Arterial,1071,70,726.77,244.2,83,24.39,88.26,1003.33,32.69,Rainy,26.99,Safe
8.06,0.6,3.24,6.9,584.26,24.85,0.0452,187.51,85.97,1037,58,50,Local,2363,30,704.04,86.27,33,39.41,66.48,990.22,25.68,Stormy,4.79,Safe
7.28,4.15,0.29,0.92,551.34,47.55,0.0056,16.79,48.29,1832,50,59,Arterial,2822,30,77.69,66.74,2,29.75,85.4,1007.66,33.59,Rainy,20.99,Safe
7.66,0.93,4.09,9.7,1315.92,52.12,0.0187,102.26,46.43,1513,93,42,Arterial,2303,40,295.73,388.34,74,18.71,71.3,1009.19,5.84,Rainy,9.82,Safe
8.32,0.38,2.83,9.22,1304.03,73.06,0.0448,40.58,22.37,1325,75,40,Local,805,60,259.73,286.32,15,11.74,87.3,1010.72,21.48,Rainy,87.31,Unsafe
7.61,3.65,4.24,1.7,1326.2,94.6,0.041,62.0,83.23,1657,90,14,Arterial,2922,70,458.12,896.17,68,-4.99,53.65,1010.9,7.35,Rainy,24.04,Safe
6.85,1.55,4.87,1.57,879.28,50.37,0.0361,136.57,72.79,1819,50,73,Arterial,2738,50,367.04,48.71,97,24.85,59.94,1021.66,11.43,Rainy,54.63,Unsafe
7.26,3.63,4.79,5.62,1430.84,35.5,0.0051,34.56,47.31,1821,73,80,Collector,1076,50,421.74,821.15,69,1.18,11.2,984.5,31.95,Sunny,5.1,Safe
8.19,2.86,4.28,7.69,1237.5,25.87,0.0311,12.14,56.15,1401,54,53,Arterial,2415,40,135.29,516.08,48,28.52,79.51,998.99,33.49,Rainy,78.02,Unsafe
7.79,0.72,0.05,4.13,652.67,63.47,0.0291,148.15,83.53,1917,15,8,Local,2202,30,225.86,795.95,79,39.7,20.07,1045.19,27.63,Cloudy,6.13,Safe
7.8,4.67,4.43,1.8,962.85,94.29,0.0084,131.86,47.54,1686,50,91,Collector,2014,70,632.47,160.56,80,15.49,65.14,982.59,49.62,Sunny,20.08,Safe
8.23,2.37,0.38,5.35,226.59,76.47,0.0387,181.51,57.87,1331,81,78,Collector,502,50,635.6,900.85,30,10.39,50.06,1033.37,10.66,Rainy,66.64,Unsafe
8.29,3.73,4.26,3.71,849.43,20.61,0.0156,113.04,21.58,1074,53,59,Collector,2380,50,161.58,355.95,36,21.27,97.29,1000.72,13.85,Rainy,97.52,Unsafe
8.34,2.6,1.4,3.84,431.57,89.33,0.031,189.61,93.47,1456,33,66,Local,596,40,746.37,978.09,35,9.19,40.58,1018.8,1.38,Sunny,20.6,Safe
6.69,3.1,3.05,6.63,461.14,73.55,0.0181,125.77,49.7,1893,19,88,Local,2649,30,1174.92,767.31,2,0.57,75.08,980.61,42.23,Cloudy,5.25,Safe
7.59,1.65,0.19,8.91,232.29,12.79,0.0042,83.56,43.71,1622,49,72,Collector,1418,50,500.83,849.44,17,34.25,80.48,997.17,29.98,Rainy,38.73,Safe
7.98,1.16,3.86,5.81,569.39,71.28,0.0262,125.61,68.73,1885,52,71,Local,1677,70,236.85,43.48,39,8.13,98.3,1036.42,21.18,Rainy,49.15,Safe
8.01,2.8,0.56,7.03,748.02,28.94,0.0153,152.34,62.14,1155,61,63,Arterial,1832,50,1194.82,18.11,4,-0.67,24.92,1038.44,11.11,Rainy,69.18,Unsafe
7.71,2.31,2.05,6.77,920.51,49.14,0.0036,76.03,52.07,1553,38,79,Arterial,1202,40,655.31,195.22,15,5.41,80.4,1013.04,25.96,Stormy,84.52,Unsafe
6.83,2.07,4.09,5.74,492.06,30.02,0.0099,80.78,93.79,1806,88,87,Local,742,60,329.36,703.07,30,11.69,42.78,1043.24,16.75,Rainy,43.3,Safe
8.09,3.43,3.48,3.45,1198.76,8.41,0.0309,129.69,49.04,1658,91,93,Collector,679,50,1058.91,614.61,93,32.37,45.36,995.79,12.82,Stormy,69.86,Unsafe
7.94,3.51,0.03,4.09,805.39,76.86,0.0051,96.56,99.87,1275,93,91,Collector,2584,40,195.22,794.81,78,43.12,58.61,984.88,45.76,Stormy,20.35,Safe
6.67,0.42,2.02,3.5,975.18,82.87,0.0044,110.12,83.13,1067,21,59,Arterial,1653,50,263.46,801.49,90,9.38,45.14,1046.58,45.12,Stormy,92.96,Unsafe
7.43,1.83,0.21,9.22,453.31,23.2,0.0472,196.6,92.27,1922,92,11,Arterial,1737,30,920.72,827.92,22,33.76,57.81,1020.63,24.63,Cloudy,37.56,Safe
6.85,2.18,3.37,8.35,1230.5,23.96,0.0054,18.32,42.62,1832,95,73,Collector,1732,40,1097.73,994.32,89,2.32,53.97,1016.23,44.41,Cloudy,14.33,Safe
7.17,0.67,4.84,6.0,955.2,43.0,0.0188,133.1,25.62,1602,97,34,Arterial,504,60,544.64,647.63,9,43.9,19.52,1002.21,16.76,Stormy,38.02,Safe
6.54,1.33,3.28,9.17,1300.41,81.15,0.0067,185.35,53.54,1045,52,33,Collector,2360,50,130.98,510.49,80,4.78,12.15,999.96,47.65,Rainy,17.28,Safe
7.3,0.45,1.12,8.92,281.93,7.73,0.047,54.88,45.07,1744,24,29,Arterial,2785,50,768.54,383.1,40,27.92,16.56,989.99,26.4,Stormy,33.77,Safe
7.6,4.98,1.78,9.31,601.96,80.87,0.0241,50.29,24.85,1703,39,78,Collector,679,30,929.37,967.15,5,-4.75,72.3,1023.44,35.49,Sunny,77.38,Unsafe
7.74,3.74,4.88,2.61,213.87,92.27,0.0056,78.97,25.72,1766,83,95,Arterial,2777,40,655.34,653.79,69,35.35,73.74,983.25,24.39,Sunny,10.51,Safe
7.83,0.62,1.12,7.32,362.51,56.15,0.0384,24.07,33.94,1703,29,52,Arterial,1025,40,501.02,712.49,54,32.44,40.0,1028.88,34.59,Sunny,7.58,Safe
8.17,0.3,2.81,6.29,622.09,6.04,0.039,116.45,50.22,1696,10,61,Local,2643,50,829.43,735.79,21,9.2,26.48,1035.94,15.45,Sunny,14.9,Safe
6.93,3.65,2.0,7.47,1347.14,26.96,0.0451,132.64,94.82,1886,17,39,Local,2982,50,593.3,290.25,91,-0.99,72.0,1007.56,37.41,Stormy,42.89,Safe
6.74,2.31,3.84,3.0,857.71,11.14,0.0353,165.78,72.62,1305,33,63,Collector,1501,60,948.93,724.37,58,16.84,25.06,1038.98,4.05,Cloudy,14.39,Safe
8.2,3.98,4.34,7.1,529.05,25.93,0.0027,22.57,51.87,1603,43,91,Arterial,2480,50,57.11,238.34,58,-2.67,81.71,1018.92,21.45,Stormy,76.47,Unsafe
6.81,4.63,1.7,4.39,1133.0,81.18,0.0275,92.88,83.95,1610,84,82,Collector,1503,40,749.67,526.3,24,-2.5,57.01,1020.41,49.25,Cloudy,67.39,Unsafe
8.45,3.08,3.3,8.42,78.54,5.57,0.0192,159.0,65.48,1486,5,75,Arterial,2077,40,1022.52,144.95,92,36.61,13.17,984.05,18.17,Sunny,91.6,Unsafe
8.19,1.1,2.75,8.06,586.63,28.38,0.0374,155.98,53.4,1768,46,35,Collector,2456,60,833.68,531.91,23,22.03,41.76,1025.54,35.98,Cloudy,94.43,Unsafe
7.5,3.95,1.39,2.51,921.21,51.7,0.0295,23.99,31.55,1494,1,18,Collector,2404,50,703.09,898.03,72,-0.13,92.97,999.13,49.5,Cloudy,38.23,Safe
8.46,4.79,1.36,2.25,895.69,87.4,0.0363,12.17,94.16,1258,36,71,Collector,887,70,306.79,376.43,2,42.27,67.46,1010.46,12.91,Rainy,55.45,Unsafe
